road_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Arterial,0.126,0.094,0.076,0.077,0.105,0.196,0.359,0.518,0.581,0.498,0.414,0.402,0.428,0.412,0.401,0.434,0.524,0.592,0.571,0.456,0.351,0.282,0.225,0.169
Collector,0.126,0.094,0.077,0.077,0.105,0.197,0.358,0.522,0.589,0.502,0.419,0.407,0.432,0.416,0.402,0.435,0.528,0.602,0.576,0.459,0.355,0.283,0.226,0.17
Highway,0.109,0.083,0.068,0.07,0.093,0.173,0.308,0.446,0.505,0.432,0.36,0.351,0.371,0.358,0.344,0.376,0.454,0.514,0.496,0.395,0.305,0.245,0.197,0.147
Residential,0.118,0.089,0.072,0.073,0.099,0.182,0.329,0.481,0.541,0.46,0.385,0.372,0.394,0.382,0.37,0.401,0.487,0.551,0.527,0.42,0.323,0.26,0.209,0.157
